Format Version,1.23,Take Name,cart_random_sync,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-06-22 12.22.57.287 PM,Total Frames in Take,2488,Total Exported Frames,2488,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,mecanum:org,mecanum:org,mecanum:org,mecanum:xdir,mecanum:xdir,mecanum:xdir,mecanum:zdir,mecanum:zdir,mecanum:zdir
,ID,"8A1E0D81F1F811EC20C8B848E84FB3","8A1E0D81F1F811EC20C8B848E84FB3","8A1E0D81F1F811EC20C8B848E84FB3","8A1E0D83F1F811EC20C8B848E84FB3","8A1E0D83F1F811EC20C8B848E84FB3","8A1E0D83F1F811EC20C8B848E84FB3","8A1E0D85F1F811EC20C8B848E84FB3","8A1E0D85F1F811EC20C8B848E84FB3","8A1E0D85F1F811EC20C8B848E84FB3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
193,1.930000,0.186404,0.066473,0.243760,0.227559,0.065004,0.251847,0.169569,0.066390,0.345254
194,1.940000,0.186462,0.066558,0.243836,0.227578,0.065020,0.251813,0.169559,0.066387,0.345249
195,1.950000,0.186390,0.066468,0.243768,0.227578,0.065008,0.251830,0.169548,0.066391,0.345241
196,1.960000,0.186459,0.066558,0.243829,0.227573,0.065036,0.251817,0.169554,0.066401,0.345248
197,1.970000,0.186397,0.066462,0.243772,0.227569,0.065009,0.251840,0.169547,0.066380,0.345246
198,1.980000,0.186399,0.066462,0.243765,0.227565,0.065015,0.251840,0.169546,0.066381,0.345250
199,1.990000,0.186403,0.066455,0.243755,0.227563,0.065014,0.251840,0.169552,0.066388,0.345249
200,2.000000,0.186414,0.066456,0.243767,0.227556,0.065017,0.251840,0.169542,0.066381,0.345246
201,2.010000,0.186468,0.066550,0.243835,0.227564,0.065021,0.251840,0.169539,0.066389,0.345251
202,2.020000,0.186416,0.066457,0.243755,0.227563,0.065010,0.251832,0.169538,0.066384,0.345243
203,2.030000,0.186459,0.066566,0.243840,0.227554,0.064995,0.251833,0.169544,0.066387,0.345249
204,2.040000,0.186413,0.066483,0.243780,0.227571,0.065009,0.251840,0.169576,0.066403,0.345244
205,2.050000,0.186456,0.066546,0.243834,0.227580,0.065015,0.251833,0.169549,0.066389,0.345252
