sys_time,e_fr,e_fl,e_rr,e_rl,rtc,mils,sync
2022-06-23 09:53:18.415361,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84715,0
2022-06-23 09:53:18.415863,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84725,0
2022-06-23 09:53:18.482360,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84735,0
2022-06-23 09:53:18.482860,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84745,0
2022-06-23 09:53:18.483360,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84755,0
2022-06-23 09:53:18.483860,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84765,0
2022-06-23 09:53:18.484361,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84775,0
2022-06-23 09:53:18.484870,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84785,0
2022-06-23 09:53:18.485861,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84795,0
2022-06-23 09:53:18.556363,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84805,0
2022-06-23 09:53:18.556363,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84815,0
2022-06-23 09:53:18.556860,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84825,0
2022-06-23 09:53:18.557360,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84835,0
2022-06-23 09:53:18.557861,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84845,0
2022-06-23 09:53:18.558360,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84855,0
2022-06-23 09:53:18.558861,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84865,0
2022-06-23 09:53:18.622363,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84875,0
2022-06-23 09:53:18.622863,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84885,0
2022-06-23 09:53:18.622863,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84895,0
2022-06-23 09:53:18.623364,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84905,0
2022-06-23 09:53:18.624860,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84915,0
2022-06-23 09:53:18.625367,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84925,0
2022-06-23 09:53:18.625367,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84935,0
2022-06-23 09:53:18.691573,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84945,0
